plot,od3,od5,od7,ud3,ud5,ud7,DBH_remote,no_dec,no_spruce,no_pine,no_all_alive,DBH_ground,no_ud_spruce
plot_1,59.26302765,48.8663449,31.49676716,7.009815069,17.40649781,34.77607555,13.78431373,18,117,23,158,11.82468354,92
plot_100,57.54904573,55.91729064,53.92936714,3.313108741,4.94486383,6.93278733,24.18,8,11,48,67,23.52537313,88
plot_104,61.21710657,56.89264191,50.33070917,3.564288359,7.888753022,14.45068576,20.47058824,4,91,11,106,16.05849057,120
plot_12,43.55132131,40.13896481,35.03386579,3.616308029,7.028664534,12.13376355,18.25531915,15,13,59,87,14.79770115,38
plot_13,49.8173447,47.10341606,42.85775723,3.645063075,6.358991715,10.60465054,18.72,12,30,57,99,16.96464646,68
plot_17,42.64047334,41.69149482,39.50541794,1.706925948,2.655904472,4.841981353,19.42857143,4,18,45,67,19.13283582,70
plot_19,47.27790068,46.03660005,43.74844433,1.591730063,2.833030692,5.121186413,19.34693878,8,1,58,67,18.05820896,4
plot_20,57.50244012,54.20092574,50.14334918,4.578575996,7.880090373,11.93766694,21.65957447,3,39,45,87,20.92068966,94
plot_23,49.10406247,47.31888187,44.4329975,2.678735866,4.46391647,7.349800838,19.2,1,11,58,70,19.63428571,30
plot_25,42.28677547,39.8933014,35.02516268,1.886721047,4.280195117,9.148333836,17.36,8,1,66,75,17.51466667,8
plot_26,44.02692818,37.47030381,30.27357627,8.138713911,14.69533829,21.89206583,21.87755102,64,24,6,94,15,56
plot_29,42.53768858,38.62741421,32.61277051,3.638336227,7.54861059,13.5632543,17.52,5,12,56,73,17.67260274,42
plot_31,43.65161619,39.46112289,34.4859829,5.154952818,9.345446114,14.3205861,18.85714286,6,15,73,94,16.86808511,66
plot_33,59.17287285,53.44906097,43.87109871,5.735487475,11.45929935,21.03726161,15.14,168,112,38,318,11.18144654,178
plot_36,62.33040245,51.88118671,34.20688187,6.190214081,16.63942982,34.31373467,13.65306122,31,145,12,188,12.33723404,116
plot_37,43.94873395,31.48988505,15.66610324,9.377572137,21.83642104,37.66020285,12.47058824,35,107,10,152,11.35855263,166
plot_38,47.85735033,43.3418623,37.45039651,4.073718435,8.589206466,14.48067225,19.67307692,30,50,21,101,15.75841584,64
plot_39,48.04123172,46.60966762,43.41081713,1.732483152,3.164047259,6.362897752,19.34,28,9,57,94,16.45319149,26
plot_4,70.46134171,63.9478454,51.11055203,4.460147618,10.97364393,23.81093729,14.92,15,137,51,203,12.89655172,74
plot_42,48.63311776,46.6090987,41.86125663,2.672499988,4.696519048,9.444361119,18.49019608,8,19,48,75,17.08933333,58
plot_45,44.28575086,40.87831869,35.58692644,3.44315945,6.850591618,12.14198388,18.34,11,20,25,56,20.975,62
plot_46,53.34542405,50.54257971,46.25836224,3.132376328,5.935220663,10.21943814,20.66,4,17,48,69,23.11014493,50
plot_49,58.77238898,56.43902726,52.84743516,1.991737933,4.325099661,7.916691757,20.47058824,1,41,33,75,19.856,62
plot_5,43.95466078,40.40590674,35.29591492,4.247604095,7.796358134,12.90634995,18.44,21,26,30,77,17.24415584,48
plot_50,57.54883814,56.36456585,55.51747355,2.061718158,3.245990448,4.093082745,25.51020408,4,13,38,55,24.80909091,32
plot_52,56.67691093,53.99165615,51.37318597,3.197801417,5.883056197,8.50152638,22.28571429,18,24,61,103,18.6592233,66
plot_53,46.80042496,43.44618743,38.37859115,3.846012523,7.200250061,12.26784633,22.02,22,28,16,66,20.54393939,138
plot_55,52.34273647,45.85096278,39.16096978,5.707964485,12.19973818,18.88973117,18.19607843,107,55,37,199,12.26281407,136
plot_56,54.21928851,50.90535943,45.58783164,2.910667421,6.224596497,11.54212429,20.07692308,20,37,16,73,18.9630137,50
plot_58,51.09385639,47.06255419,41.76101655,3.4272026,7.458504798,12.76004244,19,29,18,58,105,16.02666667,62
plot_6,43.73959181,37.17187192,28.07141027,5.644752668,12.21247256,21.3129342,17.84,39,21,72,132,12.91969697,74
plot_60,59.06120952,56.84470365,53.45076585,1.450524624,3.667030487,7.060968295,22.55319149,4,61,7,72,20.09444444,10
plot_61,53.32019585,46.66900003,39.9230971,7.871587924,14.52278375,21.26868668,21.3,14,33,1,48,21.36666667,84
plot_62,51.99148926,48.55280066,43.63965358,3.709714002,7.148402597,12.06154968,21.80769231,4,49,6,59,20.48305085,72
plot_64,50.61891397,47.36747781,43.09251904,3.409355672,6.660791829,10.9357506,20.09803922,7,39,43,89,17.14382022,92
plot_65,48.23665469,46.34877434,42.79203543,2.185319375,4.073199731,7.629938637,18.92307692,0,20,61,81,19.21481481,54
plot_66,48.35643634,46.22963631,42.85404419,3.253698957,5.380498988,8.756091106,20.85714286,3,2,38,43,23.54418605,54
plot_67,52.57513136,51.10440923,49.13025954,1.54993787,3.020659996,4.994809682,21.95918367,5,10,52,67,22.2641791,60
plot_68,47.54177128,43.25529909,38.19278561,4.544068575,8.830540762,13.89305425,21.33333333,17,35,16,68,22.54852941,72
plot_69,51.56186909,48.30624323,44.05502507,4.499734078,7.755359941,12.0065781,22.13461538,24,18,10,52,20.76538462,40
plot_71,53.99465137,52.15384314,49.39153235,3.319703061,5.160511291,7.922822082,21.51923077,7,8,50,65,23.24461538,26
plot_72,53.6136939,49.84968839,43.83029906,4.248174742,8.012180259,14.03156958,20.05882353,15,23,26,64,21.665625,94
plot_73,61.20804775,57.5696881,53.46157096,4.105454054,7.743813706,11.85193085,25.31372549,16,25,2,43,22.86976744,44
plot_74,56.04899665,51.85312277,46.52078193,4.684951702,8.880825583,14.21316642,23.44,23,25,10,58,24.07586207,50
plot_75,53.75601419,49.38524355,44.26994761,5.074236065,9.445006709,14.56030265,22.96153846,22,32,15,69,22.89565217,94
plot_79,52.87401607,50.68446255,48.67513068,5.298896919,7.488450436,9.497782312,22.14285714,4,7,53,64,21.715625,66
plot_8,57.59967589,40.68352261,20.19881212,9.265432983,26.18158627,46.66629676,12.16326531,66,150,5,221,11.22986425,246
plot_83,49.53898778,46.24915018,39.669315,2.665243092,5.955080694,12.53491587,18.13461538,7,37,29,73,20.08767123,40
plot_85,54.19986484,51.91497155,46.4120494,2.110955321,4.395848615,9.898770759,17.17021277,0,14,83,97,16.61649485,36
plot_87,45.12358857,43.88111576,41.80709183,1.540474711,2.782947516,4.856971449,20.36170213,1,7,34,42,19.9952381,14
plot_88,44.42566437,39.24764015,31.29014041,4.374821889,9.55284611,17.51034585,15.58,20,26,66,112,15.16875,100
plot_89,47.13336989,46.33478054,45.95007585,3.05710594,3.855695293,4.240399984,25.90384615,8,5,39,52,21.84038462,68
plot_90,64.44798191,63.18467871,61.61628406,3.017220972,4.280524176,5.848918823,28.3,0,30,25,55,28.76545455,128
plot_91,59.11616234,57.13640215,54.20621703,3.395790562,5.375550758,8.305735871,24.5,0,55,12,67,23.41044776,88
